"";"You.are.primarily...";"count";"Percent";"csum";"pos";"legend_labs";"percent2"
"1";"a producer / provider of geospatial data";32;28,0701754385965;114;98;"a producer / provider of geospatial data (28%)";"28%"
"2";"a user of geospatial data";82;71,9298245614035;82;41;"a user of geospatial data (72%)";"72%"
